Date,Open,High,Low,Close,Adj Close,Volume
02-02-2001,0.377232,0.391741,0.366071,0.368304,0.315771,427341600
05-02-2001,0.366071,0.367188,0.352679,0.360491,0.309072,286115200
06-02-2001,0.359933,0.381975,0.357143,0.377232,0.323426,462711200
07-02-2001,0.368862,0.372768,0.353795,0.370536,0.317685,393887200
08-02-2001,0.367188,0.376116,0.360491,0.370536,0.317685,604128000
09-02-2001,0.366071,0.371652,0.333705,0.341518,0.292806,590083200
12-02-2001,0.340402,0.357143,0.335938,0.351563,0.301418,274120000
13-02-2001,0.356027,0.364955,0.339286,0.341518,0.292806,237070400
14-02-2001,0.342634,0.350446,0.330357,0.348214,0.298547,309120000
15-02-2001,0.351563,0.367188,0.351563,0.358259,0.307159,311416000
16-02-2001,0.339286,0.348214,0.334821,0.339286,0.290892,263911200
20-02-2001,0.342634,0.347098,0.324777,0.327009,0.280366,314893600
21-02-2001,0.325893,0.356027,0.325893,0.337054,0.288978,390258400
22-02-2001,0.340402,0.345982,0.321429,0.335938,0.288022,431961600
23-02-2001,0.332589,0.337054,0.325893,0.335938,0.288022,293865600
26-02-2001,0.340402,0.351563,0.331473,0.348214,0.298547,206438400
27-02-2001,0.344308,0.347098,0.333705,0.345982,0.296633,348516000
28-02-2001,0.345982,0.347098,0.323661,0.325893,0.279409,508233600
01-03-2001,0.31808,0.334821,0.30692,0.334821,0.287064,330461600
02-03-2001,0.327009,0.364955,0.325893,0.34375,0.294719,406201600
05-03-2001,0.345982,0.366071,0.34375,0.363839,0.311943,324172800
06-03-2001,0.369978,0.393973,0.36942,0.383929,0.329167,731802400
07-03-2001,0.38058,0.386161,0.370536,0.379464,0.325339,419540800
08-03-2001,0.36942,0.377232,0.364955,0.371652,0.318641,204859200
09-03-2001,0.368304,0.36942,0.357143,0.361607,0.310029,299135200
12-03-2001,0.351563,0.354911,0.323661,0.332589,0.28515,391020000
13-03-2001,0.337054,0.34933,0.324777,0.34933,0.299503,443329600
14-03-2001,0.330357,0.366071,0.329241,0.364955,0.3129,477775200
15-03-2001,0.372768,0.381696,0.351563,0.351563,0.301418,529317600
16-03-2001,0.339286,0.362723,0.337054,0.350446,0.30046,470316000
19-03-2001,0.352679,0.368304,0.348214,0.367188,0.314814,356008800
20-03-2001,0.369978,0.373884,0.351563,0.351563,0.301418,499206400
21-03-2001,0.353237,0.372768,0.345982,0.359375,0.308116,371375200
22-03-2001,0.363839,0.388393,0.360491,0.386161,0.331081,723301600
23-03-2001,0.393973,0.420759,0.392857,0.410714,0.352132,944888000
26-03-2001,0.413036,0.424107,0.377321,0.388929,0.333454,734451200
27-03-2001,0.391786,0.411607,0.391071,0.408393,0.350142,543821600
28-03-2001,0.394286,0.401786,0.383929,0.395893,0.339425,584662400
29-03-2001,0.38875,0.41875,0.383929,0.402321,0.344936,613065600
30-03-2001,0.402679,0.405714,0.381071,0.394107,0.337894,400349600
02-04-2001,0.394464,0.404643,0.382143,0.385536,0.330545,340911200
03-04-2001,0.381429,0.382143,0.359464,0.361429,0.309877,368687200
04-04-2001,0.352857,0.361607,0.334821,0.348214,0.298547,685484800
05-04-2001,0.367857,0.401786,0.357143,0.372679,0.319522,446762400
06-04-2001,0.371429,0.375714,0.355357,0.367679,0.315235,324889600
09-04-2001,0.369464,0.381071,0.358214,0.366786,0.31447,266582400
10-04-2001,0.373214,0.405357,0.371071,0.393571,0.337434,457374400
11-04-2001,0.410357,0.410714,0.38,0.389286,0.33376,334096000
12-04-2001,0.3825,0.411071,0.377679,0.400357,0.343252,298933600
16-04-2001,0.394464,0.4,0.3725,0.382857,0.328248,285224800
17-04-2001,0.378571,0.37875,0.35,0.364286,0.312326,685199200
18-04-2001,0.385179,0.43,0.376429,0.406964,0.348917,1100842400
19-04-2001,0.45625,0.459821,0.421429,0.459286,0.393776,1873670400
20-04-2001,0.445179,0.457679,0.439286,0.447143,0.383365,693403200
23-04-2001,0.434643,0.446429,0.428571,0.433036,0.37127,541525600
24-04-2001,0.434464,0.441964,0.419821,0.429107,0.367901,377137600
25-04-2001,0.432321,0.443929,0.420893,0.441429,0.378466,330780800
26-04-2001,0.449464,0.466071,0.440714,0.440893,0.378006,799696800
27-04-2001,0.45,0.469464,0.441964,0.467857,0.401124,453012000
30-04-2001,0.476786,0.484286,0.444107,0.455179,0.390255,494776800
01-05-2001,0.45375,0.473214,0.45,0.463036,0.396991,427252000
02-05-2001,0.470357,0.476786,0.46,0.474821,0.407095,368524800
